,Name,Position,Height,Weight,Pick,Vertical,Cluster,Topic,Frequent
0,Karl Towns,4.5,84.0,248,1,36.5,0,0,"{u'interesting': 3, u'impressive': 6, u'physical': 3}"
1,D'Angelo Russell,1.5,77.0,193,2,,0,1,"{u'heavy': 1, u'new': 2, u'elite': 2}"
2,Jahlil Okafor,5.0,83.0,272,3,,1,0,"{u'major': 3, u'good': 4, u'old': 4}"
3,Kristaps Porzingis,4.0,84.0,230,4,,3,0,"{u'exclusive': 1, u'unique': 1, u'impressive': 2}"
4,Mario Hezonja,2.5,80.0,200,5,,3,0,"{u'poor': 3, u'spanish': 3, u'nice': 4}"
5,Willie Cauley-Stein,5.0,85.0,242,6,,1,0,"{u'big': 3, u'major': 1, u'best': 2}"
6,Emmanuel Mudiay,1.0,77.0,200,7,,3,0,"{u'great': 5, u'good': 6, u'physical': 4}"
7,Stanley Johnson,3.0,79.0,242,8,,3,0,"{u'athletic': 2, u'good': 3, u'strong': 7}"
8,Frank Kaminsky,4.0,85.0,231,9,,1,0,"{u'detailed': 2, u'past': 2, u'big': 2}"
9,Justise Winslow,3.0,79.0,222,10,,3,0,"{u'good': 3, u'strong': 4, u'best': 3}"
10,Myles Turner,5.0,84.0,239,11,,1,0,"{u'good': 5, u'potential': 6, u'great': 5}"
11,Trey Lyles,4.0,82.0,241,12,,1,0,"{u'big': 7, u'good': 4, u'skilled': 4}"
12,Devin Booker,2.0,78.0,206,13,34.5,3,0,"{u'great': 1, u'vertical': 1, u'outstanding': 1}"
13,Cameron Payne,1.0,74.0,183,14,35.5,0,0,"{u'major': 1, u'productive': 1, u'private': 2}"
14,Kelly Oubre,3.0,79.0,203,15,37.0,3,0,"{u'exclusive': 1, u'american': 3, u'great': 1}"
15,Terry Rozier,1.0,74.0,190,16,38.0,3,0,"{u'athletic': 1, u'strong': 2, u'extra': 1}"
16,Rashad Vaughn,2.0,77.0,199,17,34.0,0,0,"{u'polished': 1, u'impressive': 1, u'nice': 2}"
17,Sam Dekker,3.0,81.0,219,18,34.5,3,0,"{u'huge': 1, u'head': 1, u'good': 4}"
18,Jerian Grant,1.0,77.0,198,19,,3,0,"{u'academic': 1, u'senior': 1, u'ineligible': 1}"
19,Delon Wright,1.0,78.0,181,20,31.0,3,2,"{u'tremendous': 1, u'little': 1, u'second': 1}"
20,Justin Anderson,3.0,78.0,231,21,43.0,0,0,"{u'long': 4, u'defensive': 5, u'physical': 6}"
21,Bobby Portis,4.0,83.0,246,22,31.5,1,0,"{u'great': 1, u'afraid': 1, u'mid': 2}"
22,Rondae Hollis-Jefferson,3.0,79.0,211,23,38.0,0,0,"{u'skilled': 2, u'consistent': 2, u'good': 6}"
23,Tyus Jones,1.0,74.0,185,24,32.5,0,0,"{u'little': 1, u'skilled': 1, u'outstanding': 1}"
24,Jarell Martin,3.5,81.0,239,25,34.5,3,0,"{u'good': 1, u'deserved': 1, u'separate': 1}"
25,Nikola Milutinov,5.0,84.0,220,26,,1,0,"{u'storied': 1, u'young': 2, u'serbian': 2}"
26,Larry Nance,4.0,81.0,227,27,37.5,1,0,"{u'detailed': 1, u'great': 1, u'good': 1}"
27,R.J. Hunter,2.0,78.0,185,28,33.5,3,2,"{u'hefty': 1, u'great': 1, u'outstanding': 1}"
28,Chris McCullough,4.0,81.0,199,29,,0,0,"{u'offensive': 1, u'skilled': 1, u'old': 1}"
29,Kevon Looney,4.0,81.0,222,30,,0,0,"{u'real': 1, u'little': 2, u'offensive': 2}"
30,Cedi Osman,3.0,80.0,190,31,,3,1,"{u'great': 1, u'old': 1, u'turkish': 3}"
31,Montrezl Harrell,4.0,80.0,253,32,,1,0,"{u'big': 7, u'good': 6, u'strong': 5}"
32,Jordan Mickey,4.5,80.0,238,33,37.5,2,0,"{u'early': 3, u'big': 3, u'best': 3}"
33,Anthony Brown,3.0,79.0,211,34,34.5,3,0,"{u'congenital': 1, u'eventful': 1, u'major': 1}"
34,Guillermo Hernangomez,5.0,83.0,255,35,25.5,1,0,"{u'big': 3, u'young': 3, u'spanish': 3}"
35,Rakeem Christmas,4.5,82.0,243,36,,1,0,"{u'terrific': 4, u'big': 5, u'good': 4}"
36,Richaun Holmes,4.0,82.0,243,37,36.0,1,0,"{u'terrific': 2, u'great': 2, u'strong': 2}"
37,Juan Vaulet,3.0,78.0,200,39,,3,0,"{u'international': 4, u'old': 2, u'eligible': 2}"
38,Josh Richardson,2.0,78.0,200,40,,0,0,"{u'unable': 1, u'defensive': 1}"
39,Pat Connaughton,2.0,77.0,215,41,44.0,0,0,"{u'great': 3, u'good': 5, u'vertical': 3}"
40,Olivier Hanlan,1.5,76.0,186,42,34.0,3,1,"{u'solid': 3, u'different': 2, u'capable': 2}"
41,Joseph Young,1.5,74.0,182,43,40.5,3,0,"{u'upcoming': 1, u'best': 2}"
42,Andrew Harrison,1.0,78.0,213,44,33.0,2,0,"{u'poor': 3, u'young': 3, u'talented': 3}"
43,Marcus Thornton,1.0,75.0,177,45,43.0,3,2,"{u'second': 5, u'good': 6, u'offensive': 6}"
44,Norman Powell,2.0,76.0,215,46,40.5,3,0,"{u'straight': 3, u'second': 2, u'half': 4}"
45,Arturas Gudaitis,5.0,82.0,253,47,,3,0,"{u'storied': 1, u'upcoming': 1, u'eligible': 2}"
46,Dakari Johnson,5.0,84.0,265,48,25.0,0,0,"{u'solid': 2, u'great': 2, u'similar': 2}"
47,Aaron White,4.0,81.0,220,49,35.0,3,0,"{u'efficient': 2, u'late': 1, u'senior': 2}"
48,Tyler Harvey,2.0,76.0,181,51,28.5,0,0,"{u'multiple': 1, u'major': 2, u'true': 2}"
49,Satnam Singh,5.0,86.0,290,52,,3,2,"{u'tremendous': 2, u'second': 1, u'old': 1}"
50,Daniel Diez,3.0,80.0,216,54,29.0,3,0,"{u'solid': 4, u'eligible': 2, u'spanish': 4}"
51,Cady Lalanne,4.5,82.0,241,55,,0,0,"{u'terrific': 2, u'great': 1, u'productive': 1}"
52,Branden Dawson,4.0,79.0,230,56,34.5,2,0,"{u'strong': 2, u'tough': 1, u'final': 2}"
53,Nikola Radicevic,1.0,77.0,200,57,,3,0,"{u'interesting': 2, u'good': 3, u'old': 2}"
54,J.P. Tokoto,2.0,78.0,196,58,40.0,3,0,"{u'athletic': 2, u'productive': 2, u'able': 2}"
55,Andrew Wiggins,3.0,80.0,197,1,,3,0,"{u'terrific': 3, u'long': 3, u'physical': 4}"
56,Jabari Parker,3.5,80.0,241,2,,0,0,"{u'detailed': 2, u'american': 3, u'productive': 2}"
57,Joel Embiid,5.0,84.0,240,3,,3,0,"{u'big': 2, u'overall': 3, u'impressive': 3}"
58,Aaron Gordon,4.0,81.0,220,4,39.0,0,0,"{u'big': 4, u'good': 4, u'able': 4}"
59,Dante Exum,1.5,78.0,196,5,34.5,3,0,"{u'tremendous': 2, u'smooth': 3, u'impressive': 3}"
60,Marcus Smart,1.0,75.0,227,6,36.0,3,0,"{u'overall': 4, u'offensive': 4, u'long': 3}"
61,Julius Randle,4.0,81.0,250,7,35.5,0,0,"{u'little': 3, u'right': 2, u'free': 3}"
62,Nik Stauskas,2.0,78.0,207,8,35.5,2,0,"{u'solid': 4, u'athletic': 2, u'good': 5}"
63,Noah Vonleh,4.0,81.0,247,9,37.0,3,0,"{u'likely': 5, u'old': 3, u'physical': 4}"
64,Elfrid Payton,1.0,76.0,185,10,35.5,3,0,"{u'half': 2, u'long': 3, u'excellent': 3}"
65,Doug McDermott,3.5,80.0,218,11,36.5,3,0,"{u'forward': 2, u'best': 2, u'long': 3}"
66,Dario Saric,4.0,82.0,223,12,,3,0,"{u'small': 4, u'able': 5, u'young': 7}"
67,Zach LaVine,2.0,78.0,181,13,41.5,3,0,"{u'detailed': 1, u'athletic': 1, u'past': 1}"
68,T.J. Warren,3.5,80.0,220,14,35.5,3,0,"{u'unique': 3, u'good': 4, u'excellent': 6}"
69,Adreian Payne,4.0,82.0,239,15,,3,0,"{u'little': 4, u'offensive': 4, u'long': 3}"
